Countries,rank,currency,salary_women,degree_women,degree_men,labor_force_women,labor_force_men,senior_officials_women,senior_officials_men,mps_women,mps_men,ministers_women,ministers_men
Albania,70,&#128;,,64.95636,35.04364,51.70000076,74,22.51521298,77.68762677,20.71428571,79.28571429,35,65
Algeria,128,&#36;,,62.14379,37.85621,16.20000076,76.19999695,10.60606061,89.01515152,31.6017316,68.3982684,20,80
Angola,126,&#36;,,48.04016,51.95984,64.5,77.80000305,,,36.81818182,63.18181818,22.22222222,77.77777778
Argentina,35,&#36;,,60.83725,39.16275,55.09999847,81.80000305,31.00059916,68.99940084,36.18677043,63.81322957,22.22222222,77.77777778
Armenia,105,&#36;,,61.12125,38.87875,58.40000153,75.80000305,31.7016317,68.2983683,10.6870229,89.3129771,11.11111111,88.88888889
Australia,36,&#36;,0.82,57.28212,42.71788,70.5,82.59999847,36.07157381,63.93655958,26.66666667,73.33333333,17.24137931,82.75862069
Austria,37,&#128;,0.818,55.98828,44.01172,70.59999847,81.5,30.27522936,69.67380224,30.6010929,69.3989071,30.76923077,69.23076923
Azerbaijan,96,&#36;,,52.10256,47.89744,68.09999847,73.40000153,32.99319728,67.00680272,15.57377049,84.42622951,2.5,97.5
Bahamas,40,&#36;,,,,76.40000153,84.09999847,44.13793103,55.86206897,13.15789474,86.84210526,20,80
Bahrain,123,&#36;,,60.48845,39.51155,40.70000076,88.40000153,12.56038647,87.92270531,7.5,92.5,4.545454545,95.45454545
Bangladesh,64,&#36;,,41.76044,58.23956,60.40000153,86.59999847,5.387158169,94.61284183,20,80,6.666666667,93.33333333
Barbados,24,&#36;,,68.39682,31.60318,76.59999847,84.90000153,48.24561404,50.87719298,16.66666667,83.33333333,11.76470588,88.23529412
Belarus,34,&#36;,,60.80428,39.19572,62.20000076,70.19999695,46.25700221,53.75997284,27.27272727,72.72727273,10.71428571,89.28571429
Belgium,19,&#128;,0.936,59.30501,40.69499,62.09999847,72.5,31.65301945,68.34698055,39.33333333,60.66666667,23.07692308,76.92307692
Belize,103,&#36;,,62.52101,37.47899,51.90000153,84.69999695,41.37931034,58.62068966,3.125,96.875,13.33333333,86.66666667
Benin,129,&#36;,,29.65955,70.34045,68.90000153,78.59999847,,,7.228915663,92.77108434,14.81481481,85.18518519
Bhutan,118,&#36;,,34.19276,65.80724,69.09999847,79.5,16.92307692,83.07692308,8.510638298,91.4893617,10,90
Bolivia,22,&#36;,,,,66.19999695,82.30000305,35.02202643,64.97797357,53.07692308,46.92307692,28.57142857,71.42857143
Botswana,55,&#36;,,,,75,82.69999695,38.65979381,61.34020619,9.523809524,90.47619048,12.5,87.5
Brazil,85,&#36;,,60.822,39.178,65,85.30000305,37.49847839,62.50152161,9.941520468,90.05847953,15.38461538,84.61538462
Brunei,88,&#36;,,64.05434,35.94566,55.70000076,78.90000153,34.02777778,65.97222222,—,—,0,100
Bulgaria,43,&#128;,,60.83225,39.16775,63.70000076,71.5,36.68449198,63.31550802,20.41666667,79.58333333,35,65
Burkina Faso,114,&#36;,,31.76893,68.23107,79.5,90.80000305,,,13.33333333,86.66666667,12.5,87.5
Burundi,23,&#36;,,30.7219,69.2781,84.40000153,82.80000305,,,36.36363636,63.63636364,34.7826087,65.2173913
Cambodia,109,&#36;,,41.5048,58.4952,82.09999847,88,18.04511278,81.95488722,20.32520325,79.67479675,6.976744186,93.02325581
Cameroon,90,&#36;,,,,65.40000153,77,,,31.11111111,68.88888889,14,86
Canada,30,&#36;,0.81,,,74.5,81.59999847,35.76984979,64.22344421,25.32894737,74.67105263,30.76923077,69.23076923
Cape Verde,50,&#36;,,,,55.70000076,86.40000153,,,20.83333333,79.16666667,52.94117647,47.05882353
Chad,142,&#36;,,,,64.59999847,79.19999695,,,14.89361702,85.10638298,13.63636364,86.36363636
Chile,73,&#36;,0.84,56.04375,43.95625,55.29999924,79.59999847,29.49756888,70.50243112,15.83333333,84.16666667,34.7826087,65.2173913
China,91,&#36;,,50.72862,49.27138,70.19999695,84,16.752411,83.247589,23.62284556,76.37715444,11.53846154,88.46153846
